Date,Open,High,Low,Close,Turnover (Rs. Cr)
01-Nov-99,1325.9,1332.7,1260.8,1270,1495.38
02-Nov-99,1269.3,1335.6,1239.8,1332.2,1674.17
03-Nov-99,1332.7,1353.55,1303.25,1326.4,1914.47
04-Nov-99,1326.85,1339.75,1313.6,1336.8,1733.76
05-Nov-99,1336.75,1369.65,1336.55,1364.55,1924.03
07-Nov-99,1364.7,1382.25,1364.7,1369.6,616.51
09-Nov-99,1370.5,1374.8,1345.25,1371.2,1677.06
10-Nov-99,1371.6,1392.55,1371.6,1389.1,1462.51
11-Nov-99,1389.2,1402.7,1382.3,1389.6,2019.11
12-Nov-99,1389.25,1389.4,1368.85,1373.55,1345.09
15-Nov-99,1372.75,1381.1,1358.15,1362.7,1020.13
16-Nov-99,1362.3,1362.3,1351.4,1357.75,1103.24
17-Nov-99,1367.65,1381.5,1352.25,1352.25,1289.97
18-Nov-99,1353.4,1366.25,1342.25,1364.25,1283.65
19-Nov-99,1365.25,1381.05,1360.05,1361.85,1138.13
22-Nov-99,1362.4,1378.1,1358.2,1375.25,1383.15
24-Nov-99,1376.5,1404.05,1376.5,1394.95,2161.16
25-Nov-99,1395.85,1417.65,1395.85,1408.65,2016.13
26-Nov-99,1409.35,1418.15,1395.5,1399.6,1863.91
29-Nov-99,1399.8,1401.25,1382.2,1384.65,1677.42
30-Nov-99,1384.9,1386.75,1370.55,1376.15,1716.86
01-Dec-99,1375.05,1401.1,1374.7,1388.75,2188.39
02-Dec-99,1388.2,1420.7,1387.2,1408.85,2027.88
03-Dec-99,1409.05,1436.65,1409.05,1418,1981.06
06-Dec-99,1418.3,1445.6,1418.3,1442.85,1875.52
07-Dec-99,1443.2,1455.4,1439.65,1445.15,2020.66
08-Dec-99,1451.1,1486.15,1420.95,1438.65,2424
09-Dec-99,1437.1,1451.5,1428.05,1447.55,1655.32
10-Dec-99,1448.05,1462.6,1437,1439.7,1490.87
13-Dec-99,1440.2,1444.95,1421.85,1427.65,1561.08
14-Dec-99,1427.9,1431.25,1391.1,1398.25,1780.75
15-Dec-99,1396.6,1410.8,1376.75,1401.4,1419.24
16-Dec-99,1404.05,1428.5,1402.75,1419.7,1621.01
17-Dec-99,1420.1,1439.25,1414.15,1419.3,1539.24
20-Dec-99,1419.45,1435.55,1418.75,1422.45,1300.86
21-Dec-99,1422.6,1437.6,1413.85,1421.7,1374.84
